cell_id,lat,lon,dist_to_drain_km,dist_to_incident_km,elevation_proxy,actual_flooded
0,17.296138,78.423207,0.1280848835167178,6.852318961936862,21.132010945179864,0
1,17.296138,78.427707,0.1595375838293857,6.473745949596614,17.71902209491088,0
2,17.300638,78.414207,0.2258167547609729,7.389075439530344,24.74078511786445,0
3,17.300638,78.418707,0.3905754429493364,6.974302274398596,25.03275454375505,0
4,17.300638,78.423207,0.0559692767472327,6.568084794262263,16.1389938271672,0
5,17.300638,78.427707,0.2631227200697574,6.172112507393341,17.586226131551854,0
6,17.300638,78.432207,0.637783672211998,5.788488320392152,21.645686739012586,0
7,17.305138,78.396207,0.5820164905636389,8.926239118456474,28.83329026602399,0
8,17.305138,78.400707,0.4547307180723877,8.479082178168074,27.93260331741171,0
9,17.305138,78.405207,0.2323088952283842,8.035440402847799,24.02048395600109,0
10,17.305138,78.409707,0.0927206037808917,7.595929729447589,25.602733667632023,0
11,17.305138,78.414207,0.1442183226375301,7.161310812191091,24.55717215071136,0
12,17.305138,78.418707,0.4027975205111689,6.732531080771851,23.46476037259864,0
13,17.305138,78.423207,0.5497268497986694,6.31078086073273,25.21879730628916,0
14,17.305138,78.427707,0.6780906055063907,5.897568440275865,23.4303499565269,0
15,17.305138,78.432207,0.9549238506659328,5.494820293961413,21.249414267062157,0
16,17.305138,78.436707,0.8006201297992253,5.105013686592968,21.68057958926069,0
17,17.305138,78.441207,0.4678583815796635,4.731348385194989,16.054390944442545,0
18,17.305138,78.445707,0.3596526780822515,4.377959395690794,18.26170244355312,0
19,17.305138,78.450207,0.3018704249597604,4.050157716278866,15.422803316378088,0
20,17.305138,78.454707,0.634376755530246,3.7546510773786896,16.715715264874067,1
21,17.305138,78.459207,0.744557689823322,3.4996299847195496,16.169580661865194,0
22,17.305138,78.571707,0.9340159079261032,5.463673352352726,30.07378312337456,0
23,17.305138,78.576207,1.078874750508788,5.671880724019378,26.963971318754368,1
24,17.305138,78.580707,0.8676317877483063,5.911435529984684,23.89825060309403,0
25,17.305138,78.585207,0.3986406596478278,6.178692720362733,20.000595375260097,0
26,17.305138,78.589707,0.0414506156617236,6.470220403374771,18.44475436299626,0
27,17.305138,78.594207,0.2312470309975864,6.782889873046585,18.16090731431121,0
28,17.305138,78.598707,0.0142016573213264,7.113914015175591,15.9921928444216,0
29,17.305138,78.603207,0.1371297825734323,7.460850140700483,15.963848079307889,0
30,17.309638,78.387207,1.1970171347592788,9.684951254767224,38.898506922982506,0
31,17.309638,78.391707,0.7492193925382848,9.225119366021474,30.754981675122096,0
32,17.309638,78.396207,0.3253648844702926,8.767196857817703,27.41105482597028,0
33,17.309638,78.400707,0.0725836293566961,8.311499328697726,24.492668901264487,0
34,17.309638,78.405207,0.5388124561029983,7.858413857971235,29.16721984195538,0
35,17.309638,78.409707,0.2502448473622787,7.408419707632211,27.32752721427375,0
36,17.309638,78.414207,0.1344487851396516,6.962116323252391,22.89734354746656,0
37,17.309638,78.418707,0.5351086879512269,6.520261633469133,22.52439885810116,0
38,17.309638,78.423207,0.6749004292233705,6.083825012180544,22.03789309335681,0
39,17.309638,78.427707,0.5190998605449568,5.654061259958927,22.708345796458342,0
40,17.309638,78.432207,0.7304918510269882,5.232614798475379,22.87230043044474,0
41,17.309638,78.436707,1.154018470256282,4.821667084622691,23.82038630808323,0
42,17.309638,78.441207,0.7368839749538216,4.42414469369337,17.842768275506742,0
43,17.309638,78.445707,0.3076575366103274,4.044008657094835,16.174829562936054,0
44,17.309638,78.450207,0.221351367455949,3.686641116306834,14.736371429133996,0
45,17.309638,78.454707,0.1680259434171978,3.359316355692004,14.151291464987752,0
46,17.309638,78.459207,0.3529735826392509,3.0716537876904546,16.333020677183114,0
47,17.309638,78.472707,0.0411774892782957,2.573598760803896,13.916584151349802,0
48,17.309638,78.567207,0.4931986583312417,4.8197177092184935,27.772686777757468,0
49,17.309638,78.571707,0.4363511450457685,5.009171887697613,24.950609438491927,0
50,17.309638,78.576207,0.6942479355121017,5.235479983742154,25.611745624010396,0
51,17.309638,78.580707,1.0362606716973284,5.494089712981814,26.990786509573663,0
52,17.309638,78.585207,0.6798091033857312,5.78066746503803,19.33362812870044,0
53,17.309638,78.589707,0.5297442699037561,6.09126705699105,19.42580910083568,0
54,17.309638,78.594207,0.2622233072500149,6.422404209247435,16.337480532712604,0
55,17.309638,78.598707,0.1837574372365201,6.771066440467775,14.486661371057446,0
