cell_id,lat,lon,dist_to_drain_km,dist_to_incident_km,elevation_proxy,population_density,rainfall_mm
0,17.296138,78.423207,0.12808488351671785,6.852318961936862,21.132010945179864,4283,60.0
1,17.296138,78.427707,0.15953758382938574,6.473745949596614,17.71902209491088,4413,60.0
2,17.300638,78.414207,0.22581675476097293,7.389075439530344,24.740785117864455,4241,60.0
3,17.300638,78.418707,0.3905754429493364,6.974302274398596,25.03275454375505,4385,60.0
4,17.300638,78.423207,0.05596927674723275,6.568084794262263,16.1389938271672,4530,60.0
5,17.300638,78.427707,0.2631227200697574,6.172112507393341,17.586226131551854,4676,60.0
6,17.300638,78.432207,0.637783672211998,5.788488320392152,21.645686739012582,4822,60.0
7,17.305138,78.396207,0.5820164905636389,8.926239118456474,28.83329026602399,3877,60.0
8,17.305138,78.400707,0.4547307180723877,8.479082178168074,27.93260331741171,4018,60.0
9,17.305138,78.405207,0.23230889522838424,8.035440402847799,24.02048395600109,4165,60.0
10,17.305138,78.409707,0.09272060378089178,7.595929729447589,25.602733667632023,4316,60.0
11,17.305138,78.414207,0.14421832263753012,7.161310812191091,24.55717215071136,4472,60.0
12,17.305138,78.418707,0.40279752051116896,6.732531080771851,23.464760372598636,4632,60.0
13,17.305138,78.423207,0.5497268497986694,6.31078086073273,25.218797306289158,4795,60.0
14,17.305138,78.427707,0.6780906055063907,5.897568440275865,23.4303499565269,4959,60.0
15,17.305138,78.432207,0.9549238506659328,5.494820293961413,21.249414267062154,5124,60.0
16,17.305138,78.436707,0.8006201297992253,5.105013686592968,21.68057958926069,5287,60.0
17,17.305138,78.441207,0.46785838157966353,4.731348385194989,16.054390944442545,5447,60.0
18,17.305138,78.445707,0.3596526780822515,4.377959395690794,18.261702443553116,5602,60.0
19,17.305138,78.450207,0.30187042495976046,4.050157716278866,15.422803316378088,5749,60.0
20,17.305138,78.454707,0.634376755530246,3.7546510773786896,16.715715264874067,5886,60.0
21,17.305138,78.459207,0.744557689823322,3.4996299847195496,16.169580661865194,6010,60.0
22,17.305138,78.571707,0.9340159079261032,5.463673352352726,30.07378312337456,3752,60.0
23,17.305138,78.576207,1.078874750508788,5.671880724019378,26.963971318754368,3601,60.0
24,17.305138,78.580707,0.8676317877483063,5.911435529984684,23.89825060309403,3457,60.0
25,17.305138,78.585207,0.3986406596478278,6.178692720362733,20.000595375260097,3321,60.0
26,17.305138,78.589707,0.04145061566172363,6.470220403374771,18.44475436299626,3191,60.0
27,17.305138,78.594207,0.23124703099758645,6.782889873046585,18.16090731431121,3069,60.0
28,17.305138,78.598707,0.014201657321326434,7.113914015175591,15.992192844421599,2954,60.0
29,17.305138,78.603207,0.1371297825734323,7.460850140700483,15.963848079307887,2846,60.0
30,17.309638,78.387207,1.1970171347592788,9.684951254767224,38.898506922982506,3773,60.0
31,17.309638,78.391707,0.7492193925382848,9.225119366021474,30.754981675122096,3914,60.0
32,17.309638,78.396207,0.3253648844702926,8.767196857817703,27.411054825970282,4062,60.0
33,17.309638,78.400707,0.07258362935669613,8.311499328697726,24.492668901264487,4217,60.0
34,17.309638,78.405207,0.5388124561029983,7.858413857971235,29.16721984195538,4378,60.0
35,17.309638,78.409707,0.2502448473622787,7.408419707632211,27.32752721427375,4546,60.0
36,17.309638,78.414207,0.1344487851396516,6.962116323252391,22.897343547466562,4718,60.0
37,17.309638,78.418707,0.5351086879512269,6.520261633469133,22.52439885810116,4896,60.0
38,17.309638,78.423207,0.6749004292233705,6.083825012180544,22.03789309335681,5078,60.0
39,17.309638,78.427707,0.5190998605449568,5.654061259958927,22.708345796458342,5262,60.0
40,17.309638,78.432207,0.7304918510269882,5.232614798475379,22.87230043044474,5448,60.0
41,17.309638,78.436707,1.154018470256282,4.821667084622691,23.82038630808323,5633,60.0
42,17.309638,78.441207,0.7368839749538216,4.42414469369337,17.842768275506742,5815,60.0
43,17.309638,78.445707,0.30765753661032746,4.044008657094835,16.174829562936054,5991,60.0
44,17.309638,78.450207,0.22135136745594908,3.6866411163068347,14.736371429133996,6160,60.0
45,17.309638,78.454707,0.16802594341719787,3.359316355692004,14.151291464987752,6318,60.0
46,17.309638,78.459207,0.3529735826392509,3.0716537876904546,16.333020677183114,6462,60.0
47,17.309638,78.472707,0.041177489278295724,2.573598760803896,13.916584151349802,6782,60.0
48,17.309638,78.567207,0.4931986583312417,4.8197177092184935,27.772686777757468,4087,60.0
49,17.309638,78.571707,0.43635114504576855,5.009171887697613,24.950609438491927,3913,60.0
50,17.309638,78.576207,0.6942479355121017,5.235479983742154,25.611745624010393,3748,60.0
51,17.309638,78.580707,1.0362606716973284,5.494089712981814,26.990786509573663,3590,60.0
52,17.309638,78.585207,0.6798091033857312,5.78066746503803,19.333628128700436,3441,60.0
53,17.309638,78.589707,0.5297442699037561,6.09126705699105,19.42580910083568,3300,60.0
54,17.309638,78.594207,0.26222330725001497,6.422404209247435,16.337480532712604,3167,60.0
55,17.309638,78.598707,0.18375743723652013,6.771066440467775,14.486661371057446,3042,60.0
56,17.309638,78.603207,0.21535323769849218,7.134684933466586,14.533182671649836,2925,60.0
57,17.309638,78.607707,0.057738004845141876,7.5110878639560115,16.45775148955025,2816,60.0
58,17.309638,78.612207,0.11058045350863176,7.898447704382393,11.60561864776819,2714,60.0
59,17.314138,78.378207,1.4077115037706291,10.499722122692763,38.15672642803965,3658,60.0
60,17.314138,78.382707,1.0144188567680936,10.031760196776368,30.62404327087005,3796,60.0
61,17.314138,78.387207,0.7260352341077543,9.564759085715407,31.46370468978153,3943,60.0
62,17.314138,78.391707,0.5961652904245222,9.098866733020502,31.302451177735158,4096,60.0
63,17.314138,78.396207,0.1224929670481083,8.6342626218345,28.69093389195771,4258,60.0
64,17.314138,78.400707,0.24669047393009808,8.171166499648196,28.850511916660455,4427,60.0
65,17.314138,78.405207,0.7229448844929783,7.709850105931338,30.844471463855403,4604,60.0
66,17.314138,78.409707,0.4923852528891302,7.250653149871994,25.990179289744603,4788,60.0
67,17.314138,78.414207,0.48122769022742806,6.794005394474537,24.388557440977635,4979,60.0
68,17.314138,78.418707,0.8186911366874584,6.340457653882305,27.668183429573936,5177,60.0
69,17.314138,78.423207,0.43189335584604616,5.890726015063832,21.829418433606655,5379,60.0
70,17.314138,78.427707,0.039931536336263826,5.4457560058098515,15.901722863635587,5586,60.0
71,17.314138,78.432207,0.5108504781195079,5.00681732582664,17.662600359348353,5794,60.0
72,17.314138,78.436707,0.653644487085581,4.575646048946131,17.69892993044994,6003,60.0
73,17.314138,78.441207,0.8114223061251338,4.154661185965222,20.37237811530723,6210,60.0
74,17.314138,78.445707,0.7376448986200047,3.7472974462961393,18.2912105378987,6412,60.0
75,17.314138,78.450207,0.3424936753023288,3.3585149262037732,16.294820479523345,6606,60.0
76,17.314138,78.454707,0.04191990047105001,2.9955571513894372,11.765047882939207,6788,60.0
77,17.314138,78.459207,0.30416368644467445,2.6689808102319637,14.265850108813947,6955,60.0
78,17.314138,78.468207,0.3507182841823712,2.18922765988765,15.75396032466415,7229,60.0
79,17.314138,78.472707,0.14772487642510346,2.0765069254338266,13.17617673071139,7329,60.0
