cell_id,lat,lon
0,17.296138,78.423207
1,17.296138,78.427707
2,17.300638,78.414207
3,17.300638,78.418707
4,17.300638,78.423207
5,17.300638,78.427707
6,17.300638,78.432207
7,17.305138,78.396207
8,17.305138,78.400707
9,17.305138,78.405207
10,17.305138,78.409707
11,17.305138,78.414207
12,17.305138,78.418707
13,17.305138,78.423207
14,17.305138,78.427707
15,17.305138,78.432207
16,17.305138,78.436707
17,17.305138,78.441207
18,17.305138,78.445707
19,17.305138,78.450207
20,17.305138,78.454707
21,17.305138,78.459207
22,17.305138,78.571707
23,17.305138,78.576207
24,17.305138,78.580707
25,17.305138,78.585207
26,17.305138,78.589707
27,17.305138,78.594207
28,17.305138,78.598707
29,17.305138,78.603207
30,17.309638,78.387207
31,17.309638,78.391707
32,17.309638,78.396207
33,17.309638,78.400707
34,17.309638,78.405207
35,17.309638,78.409707
36,17.309638,78.414207
37,17.309638,78.418707
38,17.309638,78.423207
39,17.309638,78.427707
40,17.309638,78.432207
41,17.309638,78.436707
42,17.309638,78.441207
43,17.309638,78.445707
44,17.309638,78.450207
45,17.309638,78.454707
46,17.309638,78.459207
47,17.309638,78.472707
48,17.309638,78.567207
49,17.309638,78.571707
50,17.309638,78.576207
51,17.309638,78.580707
52,17.309638,78.585207
53,17.309638,78.589707
54,17.309638,78.594207
55,17.309638,78.598707
56,17.309638,78.603207
57,17.309638,78.607707
58,17.309638,78.612207
59,17.314138,78.378207
60,17.314138,78.382707
61,17.314138,78.387207
62,17.314138,78.391707
63,17.314138,78.396207
64,17.314138,78.400707
65,17.314138,78.405207
66,17.314138,78.409707
67,17.314138,78.414207
68,17.314138,78.418707
69,17.314138,78.423207
70,17.314138,78.427707
71,17.314138,78.432207
72,17.314138,78.436707
73,17.314138,78.441207
74,17.314138,78.445707
75,17.314138,78.450207
76,17.314138,78.454707
77,17.314138,78.459207
78,17.314138,78.468207
79,17.314138,78.472707
80,17.314138,78.477207
81,17.314138,78.481707
82,17.314138,78.486207
83,17.314138,78.499707
84,17.314138,78.504207
85,17.314138,78.553707
86,17.314138,78.558207
87,17.314138,78.562707
88,17.314138,78.567207
89,17.314138,78.571707
90,17.314138,78.576207
91,17.314138,78.580707
92,17.314138,78.585207
93,17.314138,78.589707
94,17.314138,78.594207
95,17.314138,78.598707
96,17.314138,78.603207
97,17.314138,78.607707
98,17.314138,78.612207
99,17.314138,78.616707
100,17.314138,78.621207
101,17.318638,78.378207
102,17.318638,78.382707
103,17.318638,78.387207
104,17.318638,78.391707
105,17.318638,78.396207
106,17.318638,78.400707
107,17.318638,78.405207
108,17.318638,78.409707
109,17.318638,78.414207
110,17.318638,78.418707
111,17.318638,78.423207
112,17.318638,78.427707
113,17.318638,78.432207
114,17.318638,78.436707
115,17.318638,78.441207
116,17.318638,78.445707
117,17.318638,78.450207
118,17.318638,78.454707
119,17.318638,78.459207
120,17.318638,78.463707
121,17.318638,78.468207
122,17.318638,78.472707
123,17.318638,78.477207
124,17.318638,78.481707
125,17.318638,78.486207
126,17.318638,78.490707
127,17.318638,78.495207
128,17.318638,78.499707
129,17.318638,78.504207
130,17.318638,78.508707
131,17.318638,78.549207
132,17.318638,78.553707
133,17.318638,78.558207
134,17.318638,78.562707
135,17.318638,78.567207
136,17.318638,78.571707
137,17.318638,78.576207
138,17.318638,78.580707
139,17.318638,78.585207
140,17.318638,78.589707
141,17.318638,78.594207
142,17.318638,78.598707
143,17.318638,78.603207
144,17.318638,78.607707
145,17.318638,78.612207
146,17.318638,78.616707
147,17.323138,78.378207
148,17.323138,78.382707
149,17.323138,78.387207
150,17.323138,78.391707
151,17.323138,78.396207
152,17.323138,78.400707
153,17.323138,78.405207
154,17.323138,78.409707
155,17.323138,78.414207
156,17.323138,78.418707
157,17.323138,78.423207
158,17.323138,78.427707
159,17.323138,78.432207
160,17.323138,78.436707
161,17.323138,78.441207
162,17.323138,78.445707
163,17.323138,78.450207
164,17.323138,78.454707
165,17.323138,78.459207
166,17.323138,78.463707
167,17.323138,78.468207
168,17.323138,78.472707
169,17.323138,78.477207
170,17.323138,78.481707
171,17.323138,78.486207
172,17.323138,78.490707
173,17.323138,78.495207
174,17.323138,78.499707
175,17.323138,78.504207
176,17.323138,78.508707
177,17.323138,78.540207
178,17.323138,78.544707
179,17.323138,78.549207
180,17.323138,78.553707
181,17.323138,78.558207
182,17.323138,78.562707
183,17.323138,78.567207
184,17.323138,78.571707
185,17.323138,78.576207
186,17.323138,78.580707
187,17.323138,78.585207
188,17.323138,78.589707
189,17.323138,78.594207
190,17.323138,78.598707
191,17.323138,78.603207
192,17.323138,78.607707
193,17.323138,78.612207
194,17.323138,78.616707
195,17.327638,78.378207
196,17.327638,78.382707
197,17.327638,78.387207
198,17.327638,78.391707
199,17.327638,78.396207
200,17.327638,78.400707
201,17.327638,78.405207
202,17.327638,78.409707
203,17.327638,78.414207
204,17.327638,78.418707
205,17.327638,78.423207
206,17.327638,78.427707
207,17.327638,78.432207
208,17.327638,78.436707
209,17.327638,78.441207
210,17.327638,78.445707
211,17.327638,78.450207
212,17.327638,78.454707
213,17.327638,78.459207
214,17.327638,78.463707
215,17.327638,78.468207
216,17.327638,78.472707
217,17.327638,78.477207
218,17.327638,78.481707
219,17.327638,78.486207
220,17.327638,78.490707
221,17.327638,78.495207
222,17.327638,78.499707
223,17.327638,78.504207
224,17.327638,78.513207
225,17.327638,78.517707
226,17.327638,78.535707
227,17.327638,78.540207
228,17.327638,78.544707
229,17.327638,78.549207
230,17.327638,78.553707
231,17.327638,78.558207
232,17.327638,78.562707
233,17.327638,78.567207
234,17.327638,78.571707
235,17.327638,78.576207
236,17.327638,78.580707
237,17.327638,78.585207
238,17.327638,78.589707
239,17.327638,78.594207
240,17.327638,78.598707
241,17.327638,78.603207
242,17.327638,78.607707
243,17.327638,78.612207
244,17.327638,78.616707
245,17.332138,78.400707
246,17.332138,78.405207
247,17.332138,78.409707
248,17.332138,78.414207
249,17.332138,78.418707
250,17.332138,78.423207
251,17.332138,78.427707
252,17.332138,78.432207
253,17.332138,78.436707
254,17.332138,78.441207
255,17.332138,78.445707
