cell_id,lat,lon,terrain_elevation_m,rainfall_cm,rainfall_mm,drainage_distance_km,dist_to_incident_km,population_exposed,risk_probability,waterlog_label
0,17.296138,78.423207,21.132010945179864,1.0,10,0.1280848835167178,6.852318961936862,1071,0.3543,0
1,17.296138,78.427707,17.71902209491088,1.0,10,0.1595375838293857,6.473745949596614,1103,0.3594,0
2,17.300638,78.414207,24.74078511786445,1.0,10,0.2258167547609729,7.389075439530344,1060,0.2864,0
3,17.300638,78.418707,25.03275454375505,1.0,10,0.3905754429493364,6.974302274398596,1096,0.1927,0
4,17.300638,78.423207,16.1389938271672,1.0,10,0.0559692767472327,6.568084794262263,1132,0.3837,0
5,17.300638,78.427707,17.586226131551854,1.0,10,0.2631227200697574,6.172112507393341,1169,0.2478,0
6,17.300638,78.432207,21.645686739012586,1.0,10,0.637783672211998,5.788488320392152,1206,0.1839,0
7,17.305138,78.396207,28.83329026602399,1.0,10,0.5820164905636389,8.926239118456474,969,0.2478,0
8,17.305138,78.400707,27.93260331741171,1.0,10,0.4547307180723877,8.479082178168074,1004,0.189,0
9,17.305138,78.405207,24.02048395600109,1.0,10,0.2323088952283842,8.035440402847799,1041,0.2672,0
10,17.305138,78.409707,25.602733667632023,1.0,10,0.0927206037808917,7.595929729447589,1079,0.3912,0
11,17.305138,78.414207,24.55717215071136,1.0,10,0.1442183226375301,7.161310812191091,1118,0.3577,0
12,17.305138,78.418707,23.46476037259864,1.0,10,0.4027975205111689,6.732531080771851,1158,0.2411,0
13,17.305138,78.423207,25.21879730628916,1.0,10,0.5497268497986694,6.31078086073273,1199,0.147,0
14,17.305138,78.427707,23.4303499565269,1.0,10,0.6780906055063907,5.897568440275865,1240,0.1687,0
15,17.305138,78.432207,21.249414267062157,1.0,10,0.9549238506659328,5.494820293961413,1281,0.1708,0
16,17.305138,78.436707,21.68057958926069,1.0,10,0.8006201297992253,5.105013686592968,1322,0.0875,0
17,17.305138,78.441207,16.054390944442545,1.0,10,0.4678583815796635,4.731348385194989,1362,0.2107,0
18,17.305138,78.445707,18.26170244355312,1.0,10,0.3596526780822515,4.377959395690794,1400,0.1682,0
19,17.305138,78.450207,15.422803316378088,1.0,10,0.3018704249597604,4.050157716278866,1437,0.2277,0
20,17.305138,78.454707,16.715715264874067,1.0,10,0.634376755530246,3.7546510773786896,1472,0.1062,0
21,17.305138,78.459207,16.169580661865194,1.0,10,0.744557689823322,3.4996299847195496,1502,0.1707,0
22,17.305138,78.571707,30.07378312337456,1.0,10,0.9340159079261032,5.463673352352726,938,0.0621,0
23,17.305138,78.576207,26.963971318754368,1.0,10,1.078874750508788,5.671880724019378,900,0.1291,0
24,17.305138,78.580707,23.89825060309403,1.0,10,0.8676317877483063,5.911435529984684,864,0.1488,0
25,17.305138,78.585207,20.000595375260097,1.0,10,0.3986406596478278,6.178692720362733,830,0.2341,0
26,17.305138,78.589707,18.44475436299626,1.0,10,0.0414506156617236,6.470220403374771,798,0.2849,0
27,17.305138,78.594207,18.16090731431121,1.0,10,0.2312470309975864,6.782889873046585,767,0.2825,0
28,17.305138,78.598707,15.9921928444216,1.0,10,0.0142016573213264,7.113914015175591,738,0.4314,0
29,17.305138,78.603207,15.963848079307889,1.0,10,0.1371297825734323,7.460850140700483,712,0.3653,0
30,17.309638,78.387207,38.898506922982506,1.0,10,1.1970171347592788,9.684951254767224,943,0.0164,0
31,17.309638,78.391707,30.754981675122096,1.0,10,0.7492193925382848,9.225119366021474,978,0.1235,0
32,17.309638,78.396207,27.41105482597028,1.0,10,0.3253648844702926,8.767196857817703,1016,0.207,0
33,17.309638,78.400707,24.492668901264487,1.0,10,0.0725836293566961,8.311499328697726,1054,0.3398,0
34,17.309638,78.405207,29.16721984195538,1.0,10,0.5388124561029983,7.858413857971235,1094,0.2433,0
35,17.309638,78.409707,27.32752721427375,1.0,10,0.2502448473622787,7.408419707632211,1136,0.2454,0
36,17.309638,78.414207,22.89734354746656,1.0,10,0.1344487851396516,6.962116323252391,1180,0.3461,0
37,17.309638,78.418707,22.52439885810116,1.0,10,0.5351086879512269,6.520261633469133,1224,0.2453,0
38,17.309638,78.423207,22.03789309335681,1.0,10,0.6749004292233705,6.083825012180544,1270,0.1437,0
39,17.309638,78.427707,22.708345796458342,1.0,10,0.5190998605449568,5.654061259958927,1316,0.1998,0
40,17.309638,78.432207,22.87230043044474,1.0,10,0.7304918510269882,5.232614798475379,1362,0.1686,0
41,17.309638,78.436707,23.82038630808323,1.0,10,1.154018470256282,4.821667084622691,1408,0.1193,0
42,17.309638,78.441207,17.842768275506742,1.0,10,0.7368839749538216,4.42414469369337,1454,0.1124,0
43,17.309638,78.445707,16.174829562936054,1.0,10,0.3076575366103274,4.044008657094835,1498,0.292,0
44,17.309638,78.450207,14.736371429133996,1.0,10,0.221351367455949,3.686641116306834,1540,0.3979,0
45,17.309638,78.454707,14.151291464987752,1.0,10,0.1680259434171978,3.359316355692004,1580,0.2828,0
46,17.309638,78.459207,16.333020677183114,1.0,10,0.3529735826392509,3.0716537876904546,1616,0.3245,0
47,17.309638,78.472707,13.916584151349802,1.0,10,0.0411774892782957,2.573598760803896,1696,0.4534,0
48,17.309638,78.567207,27.772686777757468,1.0,10,0.4931986583312417,4.8197177092184935,1022,0.1741,0
49,17.309638,78.571707,24.950609438491927,1.0,10,0.4363511450457685,5.009171887697613,978,0.3253,0
50,17.309638,78.576207,25.611745624010396,1.0,10,0.6942479355121017,5.235479983742154,937,0.2031,0
51,17.309638,78.580707,26.990786509573663,1.0,10,1.0362606716973284,5.494089712981814,898,0.0594,0
52,17.309638,78.585207,19.33362812870044,1.0,10,0.6798091033857312,5.78066746503803,860,0.1809,0
53,17.309638,78.589707,19.42580910083568,1.0,10,0.5297442699037561,6.09126705699105,825,0.237,0
54,17.309638,78.594207,16.337480532712604,1.0,10,0.2622233072500149,6.422404209247435,792,0.2908,0
55,17.309638,78.598707,14.486661371057446,1.0,10,0.1837574372365201,6.771066440467775,760,0.3739,0
56,17.309638,78.603207,14.533182671649836,1.0,10,0.2153532376984921,7.134684933466586,731,0.3213,0
57,17.309638,78.607707,16.45775148955025,1.0,10,0.0577380048451418,7.5110878639560115,704,0.4377,0
58,17.309638,78.612207,11.60561864776819,1.0,10,0.1105804535086317,7.898447704382393,678,0.4575,0
59,17.314138,78.378207,38.15672642803965,1.0,10,1.4077115037706291,10.499722122692765,914,0.0488,0
60,17.314138,78.382707,30.62404327087005,1.0,10,1.0144188567680936,10.031760196776368,949,0.1255,0
61,17.314138,78.387207,31.46370468978153,1.0,10,0.7260352341077543,9.564759085715409,986,0.1271,0
62,17.314138,78.391707,31.30245117773516,1.0,10,0.5961652904245222,9.098866733020502,1024,0.1811,0
63,17.314138,78.396207,28.69093389195771,1.0,10,0.1224929670481083,8.6342626218345,1064,0.2863,0
64,17.314138,78.400707,28.85051191666045,1.0,10,0.246690473930098,8.171166499648196,1107,0.2562,0
65,17.314138,78.405207,30.844471463855403,1.0,10,0.7229448844929783,7.709850105931338,1151,0.1418,0
66,17.314138,78.409707,25.990179289744603,1.0,10,0.4923852528891302,7.250653149871994,1197,0.2512,0
67,17.314138,78.414207,24.388557440977635,1.0,10,0.481227690227428,6.794005394474537,1245,0.2689,0
68,17.314138,78.418707,27.668183429573936,1.0,10,0.8186911366874584,6.340457653882305,1294,0.0754,0
69,17.314138,78.423207,21.82941843360665,1.0,10,0.4318933558460461,5.890726015063832,1345,0.1905,0
70,17.314138,78.427707,15.901722863635587,1.0,10,0.0399315363362638,5.445756005809852,1396,0.4506,0
71,17.314138,78.432207,17.662600359348353,1.0,10,0.5108504781195079,5.00681732582664,1448,0.1184,0
72,17.314138,78.436707,17.69892993044994,1.0,10,0.653644487085581,4.575646048946131,1501,0.1647,0
73,17.314138,78.441207,20.37237811530723,1.0,10,0.8114223061251338,4.154661185965222,1552,0.154,0
74,17.314138,78.445707,18.2912105378987,1.0,10,0.7376448986200047,3.7472974462961393,1603,0.2395,0
75,17.314138,78.450207,16.294820479523345,1.0,10,0.3424936753023288,3.358514926203773,1652,0.3157,0
76,17.314138,78.454707,11.765047882939207,1.0,10,0.04191990047105,2.995557151389437,1697,0.4274,0
77,17.314138,78.459207,14.265850108813948,1.0,10,0.3041636864446744,2.668980810231964,1739,0.2939,0
78,17.314138,78.468207,15.75396032466415,1.0,10,0.3507182841823712,2.18922765988765,1807,0.2942,0
79,17.314138,78.472707,13.17617673071139,1.0,10,0.1477248764251034,2.076506925433826,1832,0.481,0
80,17.314138,78.477207,17.341552537807,1.0,10,0.4633810916688506,2.070603790908335,1850,0.2516,0
81,17.314138,78.481707,18.565845193175328,1.0,10,0.8829212803674787,2.172389212245508,1860,0.1723,0
82,17.314138,78.486207,23.03534729688405,1.0,10,1.341681761869909,2.3680172091451954,1862,0.154,0
83,17.314138,78.499707,28.29041098613053,1.0,10,1.553201210689085,3.3181820373994078,1820,0.0944,0
84,17.314138,78.504207,28.72709535283865,1.0,10,1.6609476793239637,3.7045898248494056,1790,0.0829,0
85,17.314138,78.553707,30.056535250320565,1.0,10,0.3947005372045147,4.015245126859425,1224,0.1795,0
86,17.314138,78.558207,27.40487189435344,1.0,10,0.4140174933318988,4.076191258931134,1170,0.2316,0
87,17.314138,78.562707,28.90013308060949,1.0,10,0.676621126237036,4.191036770210732,1118,0.1449,0
88,17.314138,78.567207,25.778164586827067,1.0,10,0.2001675767016157,4.35552012024496,1068,0.3729,0
89,17.314138,78.571707,23.64501072821126,1.0,10,0.075477743240081,4.564278048544561,1020,0.416,0
90,17.314138,78.576207,25.529388346572134,1.0,10,0.5484015752517202,4.81155120184018,975,0.1944,0
91,17.314138,78.580707,25.435434929357957,1.0,10,1.0240695096097845,5.091731346714431,932,0.1567,0
92,17.314138,78.585207,23.976996082117036,1.0,10,1.1232132137846391,5.399698465696491,891,0.0998,0
93,17.314138,78.589707,21.09412615745113,1.0,10,0.7518372885484467,5.730974716937005,853,0.2146,0
94,17.314138,78.594207,14.435877727402207,1.0,10,0.3840875394433636,6.081752310169598,817,0.26,0
95,17.314138,78.598707,13.31919222128366,1.0,10,0.2997835162872396,6.448849772358339,783,0.3219,0
96,17.314138,78.603207,11.184086175355812,1.0,10,0.0542665826297469,6.82963599880629,752,0.356,0
97,17.314138,78.607707,13.642541887285766,1.0,10,0.4723455620495323,7.221946041668832,722,0.2528,0
98,17.314138,78.612207,14.716315110860158,1.0,10,0.2636955188211539,7.624001156947672,695,0.2187,0
99,17.314138,78.616707,11.681201114101162,1.0,10,0.2297074971403986,8.034338486150979,670,0.2241,0
100,17.314138,78.621207,13.561012878499143,1.0,10,0.361547166449078,8.451751796636263,646,0.2541,0
101,17.318638,78.378207,36.82073465930957,1.0,10,1.0592611321024905,10.41301085082536,954,0.0599,0
102,17.318638,78.382707,31.86040292372125,1.0,10,0.7625510191582565,9.940979746008924,991,0.1522,0
103,17.318638,78.387207,31.32030406915927,1.0,10,0.3291931444067003,9.46951457013042,1030,0.3619,0
104,17.318638,78.391707,26.880040443793185,1.0,10,0.2098293974026587,8.99870427531224,1072,0.2625,0
105,17.318638,78.396207,29.65833354838865,1.0,10,0.534115070490814,8.528657317368229,1116,0.1596,0
106,17.318638,78.400707,27.555751417794266,1.0,10,0.5728114992974559,8.059507255795161,1162,0.1948,0
107,17.318638,78.405207,29.63856012032295,1.0,10,0.889629783652031,7.591420377376084,1210,0.1543,0
108,17.318638,78.409707,31.21411756415841,1.0,10,0.9592687104097936,7.124606238989522,1261,0.1114,0
109,17.318638,78.414207,24.731828946311005,1.0,10,0.9552687967998926,6.659332500615728,1314,0.119,0
110,17.318638,78.418707,25.6615525947267,1.0,10,0.6233671931185102,6.195946193190435,1368,0.2121,0
111,17.318638,78.423207,22.02637768991367,1.0,10,0.3224613825704999,5.7349048544274845,1424,0.2922,0
112,17.318638,78.427707,18.823369715238805,1.0,10,0.3032486362060583,5.2768231672164125,1482,0.2282,0
113,17.318638,78.432207,16.08990454111593,1.0,10,0.3592312265897693,4.822544595734685,1541,0.2626,0
114,17.318638,78.436707,16.627634632532327,1.0,10,0.1532913096583012,4.373254464492735,1600,0.3557,0
115,17.318638,78.441207,16.324480042365096,1.0,10,0.4899153411469243,3.930663740435728,1659,0.1781,0
116,17.318638,78.445707,19.6183422103758,1.0,10,0.9415234957966536,3.497316809697518,1716,0.1626,0
117,17.318638,78.450207,16.71210098296855,1.0,10,0.6491274752027998,3.077121527336593,1772,0.1605,0
118,17.318638,78.454707,18.161076711170825,1.0,10,0.4467668686647694,2.6762797913744856,1825,0.3045,0
119,17.318638,78.459207,14.914333352928942,1.0,10,0.560548005918579,2.3049110073503822,1873,0.2546,0
120,17.318638,78.463707,15.46502666182226,1.0,10,0.9119811360230252,1.979671837774433,1916,0.2039,0
121,17.318638,78.468207,17.19533709282983,1.0,10,0.7548447798918647,1.7268268653488887,1954,0.2007,0
122,17.318638,78.472707,17.142489398041945,1.0,10,0.6464398006527682,1.5814885599219668,1983,0.2529,0
123,17.318638,78.477207,21.16860519425205,1.0,10,0.8130588000786023,1.5737298727402256,2004,0.1244,0
124,17.318638,78.481707,23.089909328052748,1.0,10,1.148680020617068,1.7054295542410811,2016,0.1218,0
125,17.318638,78.486207,25.578756616834266,1.0,10,1.5341418304203929,1.9485119505147996,2019,0.1601,0
126,17.318638,78.490707,31.60259151995575,1.0,10,1.957172325839509,2.2674329719605097,2012,0.0049,0
